Team,Development_Status,Rank
Spain,Developed,1
Egypt,Developing,3
Germany,Developed,1
Russia,Upper-Middle,2
Romania,Developed,1
Sweden,Developed,1
France,Developed,1
Ukraine,Developing,3
Yemen,Developing,3
Iceland,Developed,1
Panama,Upper-Middle,2
Brazil,Upper-Middle,2
Italy,Developed,1
Greece,Developed,1
Turkey,Upper-Middle,2
Israel,Developed,1
Canada,Developed,1
Switzerland,Developed,1
Ireland,Developed,1
Slovenia,Developed,1
Hungary,Developed,1
Great Britain,Developed,1
Portugal,Developed,1
United States,Developed,1
Poland,Developed,1
Australia,Developed,1
Tunisia,Developing,3
Algeria,Developing,3
Bangladesh,Developing,3
Colombia,Upper-Middle,2
Mexico,Upper-Middle,2
Argentina,Upper-Middle,2
Chile,Developed,1
China,Upper-Middle,2
South Korea,Developed,1
Uzbekistan,Developing,3
Monaco,Developed,1
Armenia,Developing,3
Bolivia,Developing,3
Belgium,Developed,1
Netherlands,Developed,1
Croatia,Developed,1
Trinidad and Tobago,Upper-Middle,2
Belarus,Upper-Middle,2
Vietnam,Developing,3
Cuba,Developing,3
Austria,Developed,1
Kazakhstan,Upper-Middle,2
Venezuela,Upper-Middle,2
Japan,Developed,1
Namibia,Developing,3
Cyprus,Developed,1
Georgia,Developing,3
Guatemala,Developing,3
North Korea,Developing,3
Slovakia,Developed,1
Bulgaria,Developed,1
Czech Republic,Developed,1
India,Developing,3
Finland,Developed,1
New Zealand,Developed,1
Lithuania,Developed,1
South Africa,Upper-Middle,2
Chinese Taipei,Developed,1
Singapore,Developed,1
Puerto Rico,Developed,1
Malaysia,Upper-Middle,2
Peru,Upper-Middle,2
Luxembourg,Developed,1
Azerbaijan,Upper-Middle,2
Dominican Republic,Upper-Middle,2
Latvia,Developed,1
Hong Kong,Developed,1
Norway,Developed,1
Jamaica,Developing,3
